    0           0.11778300          -126.641711                    0 
    1           0.04560900          -126.642825          -0.00111426 
    2           0.01736700          -126.643123          -0.00141148 
    3           0.01976800          -126.643226          -0.00151484 
    4           0.02485800          -126.642924           -0.0012129 
    5           0.05607600          -126.642884          -0.00117318 
    6           0.01937700          -126.643022          -0.00131065 
    7           0.06704400          -126.642881          -0.00116969 
    8           0.02269700          -126.643030          -0.00131843 
    9           0.02773000          -126.642950           -0.0012392 
   10           0.02526900          -126.642957          -0.00124544 
   11           0.03829700          -126.642883          -0.00117193 
   12           0.03171800          -126.642950           -0.0012385 
   13           0.05300000          -126.642880          -0.00116866 
   14           0.04031600          -126.642898          -0.00118726 
   15           0.01623100          -126.643072          -0.00136044 
   16           0.06562200          -126.642834          -0.00112315 
   17           0.02831500          -126.642994          -0.00128248 
   18           0.00805200          -126.642945          -0.00123355 
